Evaluation Time;Measurement Type;Bioshaker Processed;Sampling ID;Quadrant Used in Reading Plate;Evaluated File;Average Measured
29-08-2020 10:37:59;OD600;1;34;3;C:\Tecan\Assays\Data\OD600_2020_08_29_10_35_51.xlsx;-6,25000335276127E-03
29-08-2020 10:46:31;OD600;2;34;4;C:\Tecan\Assays\Data\OD600_2020_08_29_10_44_23.xlsx;2,44999956339598E-02
29-08-2020 11:12:05;OD600;1;35;1;C:\Tecan\Assays\Data\OD600_2020_08_29_11_09_56.xlsx;-8,5000041872263E-03
29-08-2020 11:20:38;OD600;2;35;2;C:\Tecan\Assays\Data\OD600_2020_08_29_11_18_30.xlsx;4,15000040084124E-02
29-08-2020 11:45:19;OD600;1;36;3;C:\Tecan\Assays\Data\OD600_2020_08_29_11_43_11.xlsx;-5,00000081956387E-03
29-08-2020 11:55:54;OD600;2;36;4;C:\Tecan\Assays\Data\OD600_2020_08_29_11_53_45.xlsx;0,044750003144145
29-08-2020 12:21:27;OD600;1;37;1;C:\Tecan\Assays\Data\OD600_2020_08_29_12_19_18.xlsx;-5,2499957382679E-03
29-08-2020 12:29:59;OD600;2;37;2;C:\Tecan\Assays\Data\OD600_2020_08_29_12_27_50.xlsx;4,77499887347221E-02
29-08-2020 12:56:37;OD600;1;38;3;C:\Tecan\Assays\Data\OD600_2020_08_29_12_54_28.xlsx;-6,50000758469105E-03
29-08-2020 13:05:11;OD600;2;38;4;C:\Tecan\Assays\Data\OD600_2020_08_29_13_03_02.xlsx;2,94999964535236E-02
29-08-2020 13:32:45;OD600;1;39;1;C:\Tecan\Assays\Data\OD600_2020_08_29_13_30_37.xlsx;-5,25000505149364E-03
29-08-2020 13:41:17;OD600;2;39;2;C:\Tecan\Assays\Data\OD600_2020_08_29_13_39_08.xlsx;0,014499993994832
29-08-2020 14:07:55;OD600;1;40;3;C:\Tecan\Assays\Data\OD600_2020_08_29_14_05_46.xlsx;-7,49999657273293E-03
29-08-2020 14:16:28;OD600;2;40;4;C:\Tecan\Assays\Data\OD600_2020_08_29_14_14_19.xlsx;3,10000032186508E-02
29-08-2020 14:42:02;OD600;1;41;1;C:\Tecan\Assays\Data\OD600_2020_08_29_14_39_53.xlsx;0,243000006303191
29-08-2020 14:50:37;OD600;2;41;2;C:\Tecan\Assays\Data\OD600_2020_08_29_14_48_29.xlsx;-1,29999965429306E-02
29-08-2020 15:15:14;OD600;1;42;3;C:\Tecan\Assays\Data\OD600_2020_08_29_15_13_05.xlsx;-2,74999998509884E-03
29-08-2020 15:25:50;OD600;2;42;4;C:\Tecan\Assays\Data\OD600_2020_08_29_15_23_41.xlsx;-2,74999067187309E-03
29-08-2020 15:51:24;OD600;1;43;1;C:\Tecan\Assays\Data\OD600_2020_08_29_15_49_16.xlsx;-5,50000928342342E-03
29-08-2020 15:59:58;OD600;2;43;2;C:\Tecan\Assays\Data\OD600_2020_08_29_15_57_50.xlsx;-6,75000250339508E-03
29-08-2020 16:26:38;OD600;1;44;3;C:\Tecan\Assays\Data\OD600_2020_08_29_16_24_29.xlsx;-1,75000168383121E-03
29-08-2020 16:35:10;OD600;2;44;4;C:\Tecan\Assays\Data\OD600_2020_08_29_16_33_01.xlsx;1,72499939799309E-02
29-08-2020 17:02:45;OD600;1;45;1;C:\Tecan\Assays\Data\OD600_2020_08_29_17_00_37.xlsx;-1,99999660253525E-03
29-08-2020 17:11:18;OD600;2;45;2;C:\Tecan\Assays\Data\OD600_2020_08_29_17_09_09.xlsx;-7,49999657273293E-03
29-08-2020 17:37:59;OD600;1;46;3;C:\Tecan\Assays\Data\OD600_2020_08_29_17_35_50.xlsx;-2,25001014769077E-03
29-08-2020 17:46:33;OD600;2;46;4;C:\Tecan\Assays\Data\OD600_2020_08_29_17_44_24.xlsx;9,99998301267624E-04
29-08-2020 18:12:10;OD600;1;47;1;C:\Tecan\Assays\Data\OD600_2020_08_29_18_10_01.xlsx;-6,50000758469105E-03
29-08-2020 18:20:41;OD600;2;47;2;C:\Tecan\Assays\Data\OD600_2020_08_29_18_18_33.xlsx;-8,49999487400055E-03
29-08-2020 18:47:19;OD600;1;48;3;C:\Tecan\Assays\Data\OD600_2020_08_29_18_45_11.xlsx;-3,2499898225069E-03
29-08-2020 18:55:55;OD600;2;48;4;C:\Tecan\Assays\Data\OD600_2020_08_29_18_53_46.xlsx;-4,74999658763409E-03
29-08-2020 19:23:29;OD600;1;49;1;C:\Tecan\Assays\Data\OD600_2020_08_29_19_21_21.xlsx;-2,97500099986792E-02
29-08-2020 19:32:03;OD600;2;49;2;C:\Tecan\Assays\Data\OD600_2020_08_29_19_29_54.xlsx;-1,37499906122684E-02
29-08-2020 19:58:42;OD600;1;50;3;C:\Tecan\Assays\Data\OD600_2020_08_29_19_56_33.xlsx;-4,50000166893005E-03
29-08-2020 20:07:16;OD600;2;50;4;C:\Tecan\Assays\Data\OD600_2020_08_29_20_05_07.xlsx;-5,49999997019768E-03
