Evaluation Time;Measurement Type;Bioshaker Processed;Sampling ID;Quadrant Used in Reading Plate;Evaluated File;Average Measured
01-07-2020 04:13:41;OD600;1;33;1;C:\Tecan\Assays\Data\OD600_2020_07_01_04_11_31.xlsx;-9,99998301267624E-04
01-07-2020 04:22:17;OD600;2;33;2;C:\Tecan\Assays\Data\OD600_2020_07_01_04_20_07.xlsx;-0,377500001341105
01-07-2020 04:49:04;OD600;1;34;3;C:\Tecan\Assays\Data\OD600_2020_07_01_04_46_54.xlsx;-1,99999660253525E-03
01-07-2020 04:57:40;OD600;2;34;4;C:\Tecan\Assays\Data\OD600_2020_07_01_04_55_30.xlsx;-0,394000001251698
01-07-2020 05:23:22;OD600;1;35;1;C:\Tecan\Assays\Data\OD600_2020_07_01_05_21_12.xlsx;1,50000676512718E-03
01-07-2020 05:32:01;OD600;2;35;2;C:\Tecan\Assays\Data\OD600_2020_07_01_05_29_51.xlsx;-0,428000018000603
01-07-2020 05:58:47;OD600;1;36;3;C:\Tecan\Assays\Data\OD600_2020_07_01_05_56_37.xlsx;0
01-07-2020 06:07:24;OD600;2;36;4;C:\Tecan\Assays\Data\OD600_2020_07_01_06_05_14.xlsx;-0,461000017821789
01-07-2020 06:33:01;OD600;1;37;1;C:\Tecan\Assays\Data\OD600_2020_07_01_06_30_51.xlsx;0
01-07-2020 06:41:39;OD600;2;37;2;C:\Tecan\Assays\Data\OD600_2020_07_01_06_39_29.xlsx;-0,527999978512526
01-07-2020 07:06:20;OD600;1;38;3;C:\Tecan\Assays\Data\OD600_2020_07_01_07_04_11.xlsx;-1,50000676512718E-03
01-07-2020 07:16:59;OD600;2;38;4;C:\Tecan\Assays\Data\OD600_2020_07_01_07_14_49.xlsx;-0,554000027477741
01-07-2020 07:42:41;OD600;1;39;1;C:\Tecan\Assays\Data\OD600_2020_07_01_07_40_31.xlsx;-5,00008463859558E-04
01-07-2020 07:51:18;OD600;2;39;2;C:\Tecan\Assays\Data\OD600_2020_07_01_07_49_08.xlsx;-0,601499993354082
01-07-2020 08:18:02;OD600;1;40;3;C:\Tecan\Assays\Data\OD600_2020_07_01_08_15_52.xlsx;-3,9999932050705E-03
01-07-2020 08:26:38;OD600;2;40;4;C:\Tecan\Assays\Data\OD600_2020_07_01_08_24_28.xlsx;-0,570500008761883
