	Sample_ID	calc_gr	calc_volumeloss	Species	Drop_out
39	BS1_H5	TRUE	FALSE	SIJ216	FALSE
40	BS1_A6	TRUE	FALSE	SIJ216	FALSE
41	BS1_B6	TRUE	FALSE	SIJ216	FALSE
42	BS1_C6	TRUE	FALSE	SIJ216	FALSE
43	BS1_D6	TRUE	FALSE	SIJ216	FALSE
44	BS1_E6	TRUE	FALSE	SIJ216	FALSE
45	BS1_F6	TRUE	FALSE	SIJ216	FALSE
46	BS1_G6	TRUE	FALSE	SIJ216	FALSE
47	BS1_H6	TRUE	FALSE	SIJ216	FALSE
48	BS1_A7	TRUE	FALSE	SIJ216	FALSE
49	BS1_B7	TRUE	FALSE	SIJ216	FALSE
50	BS1_C7	TRUE	FALSE	SIJ216	FALSE
51	BS1_D7	TRUE	FALSE	SIJ216	FALSE
52	BS1_E7	TRUE	FALSE	SIJ216	FALSE
53	BS1_F7	TRUE	FALSE	SIJ216	FALSE
54	BS1_G7	TRUE	FALSE	SIJ216	FALSE
55	BS1_H7	TRUE	FALSE	SIJ216	FALSE
56	BS1_A8	TRUE	FALSE	SIJ216	FALSE
57	BS1_B8	TRUE	FALSE	SIJ216	FALSE
58	BS1_C8	TRUE	FALSE	SIJ216	FALSE
59	BS1_D8	TRUE	FALSE	SIJ216	FALSE
60	BS1_E8	TRUE	FALSE	SIJ216	FALSE
61	BS1_F8	TRUE	FALSE	SIJ216	FALSE
62	BS1_G8	TRUE	FALSE	SIJ216	FALSE
63	BS1_H8	TRUE	FALSE	SIJ216	FALSE
64	BS1_A9	TRUE	FALSE	SIJ216	FALSE
65	BS1_B9	TRUE	FALSE	SIJ216	FALSE
66	BS1_C9	TRUE	FALSE	SIJ216	FALSE
67	BS1_D9	TRUE	FALSE	SIJ216	FALSE
68	BS1_E9	TRUE	FALSE	SIJ216	FALSE
69	BS1_F9	TRUE	FALSE	SIJ216	FALSE
70	BS1_G9	TRUE	FALSE	SIJ216	FALSE
71	BS1_H9	TRUE	FALSE	SIJ216	FALSE
72	BS1_A10	TRUE	FALSE	SIJ216	FALSE
73	BS1_B10	TRUE	FALSE	SIJ216	FALSE
74	BS1_C10	TRUE	FALSE	SIJ216	FALSE
75	BS1_D10	TRUE	FALSE	SIJ216	FALSE
76	BS1_E10	TRUE	FALSE	SIJ216	FALSE
77	BS1_F10	TRUE	FALSE	SIJ216	FALSE
78	BS1_G10	TRUE	FALSE	SIJ216	FALSE
79	BS1_H10	TRUE	FALSE	SIJ216	FALSE
80	BS1_A11	TRUE	FALSE	SIJ216	FALSE
81	BS1_B11	TRUE	FALSE	SIJ216	FALSE
82	BS1_C11	TRUE	FALSE	SIJ216	FALSE
83	BS1_D11	TRUE	FALSE	SIJ216	FALSE
84	BS1_E11	TRUE	FALSE	SIJ216	FALSE
85	BS1_F11	TRUE	FALSE	SIJ216	FALSE
86	BS1_G11	TRUE	FALSE	SIJ216	FALSE
87	BS1_H11	TRUE	FALSE	SIJ216	FALSE
88	BS1_A12	FALSE	TRUE	SIJ216	FALSE
89	BS1_B12	TRUE	FALSE	SIJ216	FALSE
90	BS1_C12	TRUE	FALSE	SIJ216	FALSE
91	BS1_D12	TRUE	FALSE	SIJ216	FALSE
92	BS1_E12	TRUE	FALSE	SIJ216	FALSE
93	BS1_F12	TRUE	FALSE	SIJ216	FALSE
94	BS1_G12	TRUE	FALSE	SIJ216	TRUE
95	BS1_H12	FALSE	TRUE	SIJ216	FALSE
192	BS2_A1	FALSE	TRUE	MG1655	FALSE
193	BS2_B1	TRUE	FALSE	MG1655	FALSE
194	BS2_C1	TRUE	FALSE	MG1655	FALSE
195	BS2_D1	TRUE	FALSE	MG1655	FALSE
196	BS2_E1	TRUE	FALSE	MG1655	FALSE
197	BS2_F1	TRUE	FALSE	MG1655	FALSE
198	BS2_G1	TRUE	FALSE	MG1655	FALSE
199	BS2_H1	FALSE	TRUE	MG1655	FALSE
200	BS2_A2	TRUE	FALSE	MG1655	FALSE
201	BS2_B2	TRUE	FALSE	MG1655	FALSE
202	BS2_C2	TRUE	FALSE	MG1655	FALSE
203	BS2_D2	TRUE	FALSE	MG1655	FALSE
204	BS2_E2	TRUE	FALSE	MG1655	FALSE
205	BS2_F2	TRUE	FALSE	MG1655	FALSE
206	BS2_G2	TRUE	FALSE	MG1655	FALSE
207	BS2_H2	TRUE	FALSE	MG1655	FALSE
208	BS2_A3	TRUE	FALSE	MG1655	FALSE
209	BS2_B3	TRUE	FALSE	MG1655	FALSE
210	BS2_C3	TRUE	FALSE	MG1655	FALSE
211	BS2_D3	TRUE	FALSE	MG1655	FALSE
212	BS2_E3	TRUE	FALSE	MG1655	FALSE
213	BS2_F3	TRUE	FALSE	MG1655	FALSE
214	BS2_G3	TRUE	FALSE	MG1655	FALSE
215	BS2_H3	TRUE	FALSE	MG1655	FALSE
216	BS2_A4	TRUE	FALSE	MG1655	FALSE
217	BS2_B4	TRUE	FALSE	MG1655	FALSE
218	BS2_C4	TRUE	FALSE	MG1655	FALSE
219	BS2_D4	TRUE	FALSE	MG1655	FALSE
220	BS2_E4	TRUE	FALSE	MG1655	FALSE
221	BS2_F4	TRUE	FALSE	MG1655	FALSE
222	BS2_G4	TRUE	FALSE	MG1655	FALSE
223	BS2_H4	TRUE	FALSE	MG1655	FALSE
224	BS2_A5	TRUE	FALSE	MG1655	FALSE
225	BS2_B5	TRUE	FALSE	MG1655	FALSE
226	BS2_C5	TRUE	FALSE	MG1655	FALSE
227	BS2_D5	TRUE	FALSE	MG1655	FALSE
228	BS2_E5	TRUE	FALSE	MG1655	FALSE
229	BS2_F5	TRUE	FALSE	MG1655	FALSE
230	BS2_G5	TRUE	FALSE	MG1655	FALSE
231	BS2_H5	TRUE	FALSE	MG1655	FALSE
232	BS2_A6	TRUE	FALSE	MG1655	FALSE
233	BS2_B6	TRUE	FALSE	MG1655	FALSE
234	BS2_C6	TRUE	FALSE	MG1655	FALSE
235	BS2_D6	TRUE	FALSE	MG1655	FALSE
236	BS2_E6	TRUE	FALSE	MG1655	FALSE
237	BS2_F6	TRUE	FALSE	MG1655	FALSE
238	BS2_G6	TRUE	FALSE	MG1655	FALSE
239	BS2_H6	TRUE	FALSE	MG1655	FALSE
240	BS2_A7	TRUE	FALSE	MG1655	FALSE
241	BS2_B7	TRUE	FALSE	MG1655	FALSE
242	BS2_C7	TRUE	FALSE	MG1655	FALSE
243	BS2_D7	TRUE	FALSE	MG1655	FALSE
244	BS2_E7	TRUE	FALSE	MG1655	FALSE
245	BS2_F7	TRUE	FALSE	MG1655	FALSE
246	BS2_G7	TRUE	FALSE	MG1655	FALSE
247	BS2_H7	TRUE	FALSE	MG1655	FALSE
248	BS2_A8	TRUE	FALSE	MG1655	FALSE
249	BS2_B8	TRUE	FALSE	MG1655	FALSE
250	BS2_C8	TRUE	FALSE	MG1655	FALSE
251	BS2_D8	TRUE	FALSE	MG1655	FALSE
252	BS2_E8	TRUE	FALSE	MG1655	FALSE
253	BS2_F8	TRUE	FALSE	MG1655	FALSE
254	BS2_G8	TRUE	FALSE	MG1655	FALSE
255	BS2_H8	TRUE	FALSE	MG1655	FALSE
256	BS2_A9	TRUE	FALSE	MG1655	FALSE
257	BS2_B9	TRUE	FALSE	MG1655	FALSE
258	BS2_C9	TRUE	FALSE	MG1655	FALSE
259	BS2_D9	TRUE	FALSE	MG1655	FALSE
260	BS2_E9	TRUE	FALSE	MG1655	FALSE
261	BS2_F9	TRUE	FALSE	MG1655	FALSE
262	BS2_G9	TRUE	FALSE	MG1655	FALSE
263	BS2_H9	TRUE	FALSE	MG1655	FALSE
264	BS2_A10	TRUE	FALSE	MG1655	FALSE
265	BS2_B10	TRUE	FALSE	MG1655	FALSE
266	BS2_C10	TRUE	FALSE	MG1655	FALSE
267	BS2_D10	TRUE	FALSE	MG1655	FALSE
268	BS2_E10	TRUE	FALSE	MG1655	FALSE
269	BS2_F10	TRUE	FALSE	MG1655	FALSE
270	BS2_G10	TRUE	FALSE	MG1655	FALSE
271	BS2_H10	TRUE	FALSE	MG1655	FALSE
272	BS2_A11	TRUE	FALSE	MG1655	FALSE
273	BS2_B11	TRUE	FALSE	MG1655	FALSE
274	BS2_C11	TRUE	FALSE	MG1655	FALSE
275	BS2_D11	TRUE	FALSE	MG1655	FALSE
276	BS2_E11	TRUE	FALSE	MG1655	FALSE
277	BS2_F11	TRUE	FALSE	MG1655	FALSE
278	BS2_G11	TRUE	FALSE	MG1655	FALSE
279	BS2_H11	TRUE	FALSE	MG1655	FALSE
280	BS2_A12	FALSE	TRUE	MG1655	FALSE
281	BS2_B12	TRUE	FALSE	MG1655	FALSE
282	BS2_C12	TRUE	FALSE	MG1655	FALSE
283	BS2_D12	TRUE	FALSE	MG1655	FALSE
284	BS2_E12	TRUE	FALSE	MG1655	FALSE
285	BS2_F12	TRUE	FALSE	MG1655	FALSE
286	BS2_G12	TRUE	FALSE	MG1655	TRUE
287	BS2_H12	FALSE	TRUE	MG1655	FALSE
