	Sample_ID	calc_gr	calc_volumeloss
928	BS5_A9	True	False
929	BS5_B9	True	False
930	BS5_C9	True	False
931	BS5_D9	True	False
932	BS5_E9	True	False
933	BS5_F9	True	False
934	BS5_G9	True	False
935	BS5_H9	True	False
936	BS5_A10	True	False
937	BS5_B10	True	False
938	BS5_C10	True	False
939	BS5_D10	True	False
940	BS5_E10	True	False
941	BS5_F10	True	False
942	BS5_G10	True	False
943	BS5_H10	True	False
944	BS5_A11	True	False
945	BS5_B11	True	False
946	BS5_C11	True	False
947	BS5_D11	True	False
948	BS5_E11	True	False
949	BS5_F11	True	False
950	BS5_G11	True	False
951	BS5_H11	True	False
952	BS5_A12	False	True
953	BS5_B12	False	True
954	BS5_C12	False	True
955	BS5_D12	False	True
956	BS5_E12	False	True
957	BS5_F12	False	True
958	BS5_G12	False	True
959	BS5_H12	False	True
